date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:03	20/20	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20May%202023%2002:22:15%20GMT	https://mobirise.com/robots.txt		(from )
09:23:03	23243/23243	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202023%2002:22:15%20GMT	https://mobirise.com/extensions/luxurym4/watchstore/	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/watchstore/index.html	(from )
09:23:03	6126/6126	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2011:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/images/logo4.png	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/images/logo4.png	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:04	7591/7591	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/web/assets/mobirise-icons/mobirise-icons.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/web/assets/mobirise-icons/mobirise-icons.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:04	8687/8687	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/web/assets/mobirise-icons2/mobirise2.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:04	237/237	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/tether/tether.min.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/tether/tether.min.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:05	153182/153182	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap.min.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap.min.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:05	48488/48488	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap-grid.min.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap-grid.min.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:05	3836/3836	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap-reboot.min.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:05	387/387	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/pwa-builder-plugin/pwa-builder.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/pwa-builder-plugin/pwa-builder.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:06	2212/2212	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/formstyler/jquery.formstyler.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/formstyler/jquery.formstyler.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:06	11197/11197	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/formstyler/jquery.formstyler.theme.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/formstyler/jquery.formstyler.theme.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:06	7982/7982	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/dropdown/css/style.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/dropdown/css/style.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:07	9144/9144	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/socicon/css/styles.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/socicon/css/styles.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:07	12244/12244	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/theme/css/style.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/theme/css/style.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
09:23:07	7441/7441	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2014:06:22%20GMT	https://mobirise.com/extensions/luxurym4/assets/gallery/style.css	D:/Topaz%20home/web/web/mobirise.com/extensions/luxurym4/assets/gallery/style.css	(from https://mobirise.com/extensions/luxurym4/watchstore/)
